Portfolio_Index,Top_Assets,Weights,Return,Risk
72558,"['IEMG', 'SEMI.AS', 'CORN', 'EWW', 'IDUP.L']","[np.float64(11.536), np.float64(11.16), np.float64(9.063), np.float64(6.029), np.float64(5.982)]",0.3519695638425808,0.06665251392802884
13954,"['SEMI.AS', 'EMXC', 'VDE', 'EWU', 'AIEQ']","[np.float64(20.121), np.float64(7.674), np.float64(7.638), np.float64(7.595), np.float64(5.953)]",0.37888533604390995,0.06893925160185901
49124,"['ASHR.L', 'EWC', 'EMXC', 'EWH', 'SEMI.AS']","[np.float64(8.467), np.float64(7.216), np.float64(6.863), np.float64(6.709), np.float64(4.832)]",0.3833917176497348,0.072360618546772
62505,"['DBO', 'IEMG', 'EWU', 'EWG', 'SPY']","[np.float64(15.444), np.float64(9.06), np.float64(8.822), np.float64(6.769), np.float64(6.318)]",0.3917696918736887,0.07468210417141803
53324,"['USO', 'TLT', 'KSA', 'VPL', 'EWS']","[np.float64(11.574), np.float64(8.859), np.float64(7.939), np.float64(7.623), np.float64(6.989)]",0.4113904714371033,0.07529847059147413
42399,"['BCHN.L', 'GLD', 'SLV', 'EWH', 'EMXC']","[np.float64(10.813), np.float64(6.395), np.float64(6.386), np.float64(6.21), np.float64(5.863)]",0.4200699668988206,0.07863759124346904
91695,"['SEMI.AS', 'VDE', 'BCHN.L', 'EMXC', 'IDUP.L']","[np.float64(12.519), np.float64(10.167), np.float64(7.527), np.float64(6.615), np.float64(5.355)]",0.4538261344998351,0.07926883855690688
33039,"['SLV', 'VDE', 'PSCC', 'IDUP.L', 'INDA']","[np.float64(12.215), np.float64(11.356), np.float64(6.922), np.float64(6.405), np.float64(5.055)]",0.4633209461428275,0.08859739844395045
22639,"['SPY', 'DBO', 'VDNR.L', 'EWG', 'EMXC']","[np.float64(9.044), np.float64(8.894), np.float64(8.259), np.float64(5.627), np.float64(5.566)]",0.47667874209676275,0.09357263009562773
63318,"['EWA', 'EWG', 'IDUP.L', 'EWQ', 'IEMG']","[np.float64(18.082), np.float64(9.893), np.float64(8.752), np.float64(6.536), np.float64(6.476)]",0.4775012020329228,0.09483120914909712
63225,"['SEMI.AS', 'BCHN.L', 'VGK', 'EWQ', 'VPL']","[np.float64(10.564), np.float64(8.182), np.float64(7.816), np.float64(6.633), np.float64(4.953)]",0.49358578606150905,0.0970218996848446
47080,"['EWC', 'SPY', 'VDE', 'AIEQ', 'SEMI.AS']","[np.float64(10.05), np.float64(9.417), np.float64(9.375), np.float64(8.148), np.float64(7.559)]",0.507158098821804,0.09987608684384638
54356,"['EWQ', 'SLV', 'EWH', 'INDA', 'EDEN']","[np.float64(11.487), np.float64(9.235), np.float64(9.083), np.float64(7.701), np.float64(7.247)]",0.5229330728165711,0.1006262353330127
73903,"['VNQ', 'EWC', 'INDA', 'BCHN.L', 'IDUP.L']","[np.float64(10.942), np.float64(8.44), np.float64(8.169), np.float64(7.78), np.float64(6.435)]",0.5289204966194825,0.10148241346204798
40332,"['BCHN.L', 'EWU', 'DBO', 'XMAF.L', 'GLD']","[np.float64(11.596), np.float64(11.081), np.float64(7.671), np.float64(6.931), np.float64(6.296)]",0.5347529291593502,0.10502648569162605
66486,"['VPL', 'BCHN.L', 'EWQ', 'AIEQ', 'EWA']","[np.float64(10.12), np.float64(8.948), np.float64(8.594), np.float64(8.384), np.float64(6.434)]",0.5526882017849398,0.10876898910655493
89658,"['IEMG', 'SLV', 'EWS', 'BCHN.L', 'VGK']","[np.float64(15.656), np.float64(9.093), np.float64(8.815), np.float64(7.832), np.float64(6.803)]",0.5957063859000221,0.11038085057501235
48475,"['VDE', 'EWS', 'EMXC', 'SLV', 'EWQ']","[np.float64(14.679), np.float64(11.188), np.float64(6.663), np.float64(5.729), np.float64(5.402)]",0.6061222752341494,0.12093895168475988
27433,"['BCHN.L', 'DBO', 'XMAF.L', 'EWU', 'EWW']","[np.float64(19.157), np.float64(14.505), np.float64(8.5), np.float64(7.369), np.float64(5.982)]",0.6272400981663137,0.12750200530724065
3732,"['EWW', 'IEMG', 'EMXC', 'PSCC', 'ASHR.L']","[np.float64(13.791), np.float64(7.864), np.float64(7.199), np.float64(6.137), np.float64(5.872)]",0.627743273098766,0.13059615127074126
71564,"['EWC', 'XMAF.L', 'EWH', 'AIEQ', 'EDEN']","[np.float64(10.351), np.float64(9.305), np.float64(8.556), np.float64(8.096), np.float64(6.009)]",0.665745734341503,0.13610473216747665
31919,"['EWJ', 'EMXC', 'INDA', 'BCHN.L', 'VPL']","[np.float64(13.481), np.float64(8.587), np.float64(6.875), np.float64(6.445), np.float64(6.092)]",0.6832376064273539,0.1366889848892421
31944,"['VNQ', 'EMXC', 'EWC', 'DBO', 'EWW']","[np.float64(16.681), np.float64(11.794), np.float64(9.492), np.float64(7.85), np.float64(7.521)]",0.7004697672278244,0.13899317049655072
11483,"['EWG', 'VDNR.L', 'TLT', 'EMXC', 'USO']","[np.float64(10.733), np.float64(10.334), np.float64(7.573), np.float64(6.413), np.float64(5.439)]",0.735258178043933,0.14237575774687808
