Return,Std,SPY,ASHR.L,VPL,INDA,TLT,EMXC,IEMG,XMAF.L,VDNR.L,KSA,EDEN,VGK,SEMI.AS,AIEQ,BCHN.L,GLD,SLV,USO,DBO,CORN,PSCC,VDE,IDUP.L,VNQ,EWU,EWS,EWW,EWJ,EWH,EWG,EWQ,EWC,EWA
1.927856076174437,0.4312304736378707,3.586,4.074,2.205,6.438,0.737,0.41,0.216,0.114,3.093,1.2,10.552,3.919,2.917,0.466,16.177,2.093,0.033,0.261,0.542,2.466,1.018,3.074,4.364,0.662,4.029,0.474,3.076,6.982,2.109,4.175,3.411,0.186,4.943
1.987966835224202,0.44473839576231927,2.97,0.522,7.359,0.112,0.361,2.381,3.269,0.237,1.417,0.687,12.115,1.18,9.376,4.132,18.071,2.895,1.55,0.967,0.993,0.027,2.497,0.831,0.666,8.538,5.133,4.608,1.982,0.181,0.202,0.806,0.446,3.213,0.273
2.150421908122071,0.4754298756910543,2.353,2.305,8.82,1.154,6.255,2.842,0.662,1.215,2.558,3.083,4.37,1.831,2.179,0.295,6.539,1.084,1.683,0.197,2.982,2.695,0.297,3.334,6.176,1.637,1.872,5.356,5.931,7.56,6.416,1.023,0.544,1.556,3.192
2.2295164839509556,0.5151617713598097,6.718,1.619,5.81,1.526,2.688,1.255,0.331,1.219,4.291,13.131,0.271,8.46,0.331,0.866,7.988,2.258,0.181,3.721,1.087,1.58,3.999,2.148,2.678,4.021,3.29,6.566,3.879,0.057,1.109,0.372,2.879,0.85,2.821
2.507392955109598,0.523788141063276,1.568,1.317,0.89,4.434,3.788,0.03,0.909,4.457,0.626,4.905,8.787,1.242,1.09,2.513,5.202,0.313,1.85,7.41,4.592,3.762,8.348,0.568,3.145,0.14,0.021,1.736,0.085,4.287,0.809,4.281,7.038,9.635,0.225
2.7235456445058013,0.5620676737241165,3.647,6.461,1.784,4.407,0.22,0.893,6.065,0.429,1.806,1.692,2.789,2.989,1.516,1.823,11.001,0.277,3.197,9.828,1.922,4.888,3.211,0.855,0.431,1.858,0.109,0.792,6.866,6.758,5.474,1.086,0.107,0.858,3.96
3.4081475823235223,0.7502721324384986,0.333,12.606,6.414,4.4,1.013,1.572,0.33,1.361,4.21,1.322,2.755,1.074,3.041,0.243,14.575,2.439,0.49,2.27,0.709,4.727,8.401,1.536,1.544,0.475,0.633,2.113,8.229,0.213,0.33,3.869,2.06,0.716,3.996
3.908527254690221,0.9927230721332533,2.856,0.246,0.586,1.931,1.597,0.385,2.106,3.475,8.412,5.9,1.288,1.261,4.352,0.64,6.559,2.57,2.314,4.089,8.656,2.053,8.759,1.375,2.588,2.054,2.287,0.447,2.057,3.622,7.046,1.837,1.566,0.091,4.994
4.0229647539018165,0.9949176497754546,0.758,0.208,2.673,4.161,1.318,8.499,4.186,2.832,1.428,2.235,1.305,4.143,1.306,3.748,10.285,8.92,2.072,4.66,5.54,2.53,1.227,3.924,0.438,0.22,0.645,0.007,3.494,1.252,2.054,5.225,3.879,1.992,2.836
4.228889101406535,1.174509167662476,2.433,2.064,0.466,2.306,9.839,1.478,3.075,0.327,1.776,0.476,4.952,1.216,8.493,1.643,7.639,8.2,0.266,3.34,3.052,0.431,2.922,1.236,0.962,5.357,8.569,1.312,4.084,0.004,0.952,1.356,4.767,3.702,1.305
4.75732563354509,1.2967917746294182,0.7,0.515,3.692,1.03,0.893,5.593,0.05,2.915,1.85,3.25,7.405,1.885,1.578,0.398,15.237,14.766,1.205,6.197,2.702,0.903,0.119,2.735,1.328,1.476,0.17,1.551,9.876,1.324,4.691,0.681,0.705,1.387,1.193
5.023825134056473,1.3584409402309872,3.657,0.432,0.533,5.777,1.629,0.073,0.026,2.358,3.248,3.4,1.684,0.179,2.114,6.336,16.128,2.751,0.635,0.673,7.198,2.159,5.048,0.031,2.389,10.711,1.049,4.191,0.137,1.034,1.925,2.251,6.291,3.764,0.187
