Date,Price Change,Price Change (%)
2012-02-29,4.340543557197152,4.34
2012-03-31,3.2163659203098494,3.22
2012-04-30,-0.6675842409391786,-0.67
2012-05-31,-6.005555129706086,-6.01
2012-06-30,4.058132865503561,4.06
2012-07-31,1.1829304003746488,1.18
2012-08-31,2.5052566941182075,2.51
2012-09-30,2.5351014941620287,2.54
2012-10-31,-1.8198185768018682,-1.82
2012-11-30,0.5659838896648894,0.57
2012-12-31,0.8934261551679867,0.89
2013-01-31,5.11901638419463,5.12
2013-02-28,1.2759008757436963,1.28
2013-03-31,3.7971392262512227,3.8
2013-04-30,1.9212121741166932,1.92
2013-05-31,2.3610001308923323,2.36
2013-06-30,-1.3344866546718182,-1.33
2013-07-31,5.1676537182021365,5.17
2013-08-31,-2.999201867825041,-3.0
2013-09-30,3.1646420146275833,3.16
2013-10-31,4.63069445134463,4.63
2013-11-30,2.9637330555051467,2.96
2013-12-31,2.5926915951621554,2.59
2014-01-31,-3.5248483400417085,-3.52
2014-02-28,4.551560310264002,4.55
2014-03-31,0.829535640093626,0.83
2014-04-30,0.6951702933376103,0.7
2014-05-31,2.3206529808097898,2.32
2014-06-30,2.0645130580969173,2.06
2014-07-31,-1.3437850891634961,-1.34
2014-08-31,3.946346762908215,3.95
2014-09-30,-1.3796101960297458,-1.38
2014-10-31,2.355084202987867,2.36
2014-11-30,2.7471872687772514,2.75
2014-12-31,-0.25368076235064985,-0.25
2015-01-31,-2.9628936364363923,-2.96
2015-02-28,5.620471043034558,5.62
2015-03-31,-1.5705760903365062,-1.57
2015-04-30,0.9833690940464157,0.98
2015-05-31,1.285636932191081,1.29
2015-06-30,-2.0312199104061235,-2.03
2015-07-31,2.25891436425556,2.26
2015-08-31,-6.095015716148544,-6.1
2015-09-30,-2.5515791242071484,-2.55
2015-10-31,8.505952239297088,8.51
2015-11-30,0.3655477426472764,0.37
2015-12-31,-1.7282855117616625,-1.73
2016-01-31,-4.978661715237931,-4.98
2016-02-29,-0.08256137997739721,-0.08
2016-03-31,6.72660824348521,6.73
2016-04-30,0.39410699665844984,0.39
2016-05-31,1.701144495172624,1.7
2016-06-30,0.34757615662259767,0.35
2016-07-31,3.6471079413986196,3.65
2016-08-31,0.11977747197449151,0.12
2016-09-30,0.0058102456653053025,0.01
2016-10-31,-1.7337334558804152,-1.73
2016-11-30,3.6838553898058457,3.68
2016-12-31,2.0271884731873246,2.03
2017-01-31,1.7894877298534562,1.79
2017-02-28,3.929147769518293,3.93
2017-03-31,0.12496442149423359,0.12
2017-04-30,0.9926301610790667,0.99
2017-05-31,1.4113105503604118,1.41
2017-06-30,0.637469146321834,0.64
2017-07-31,2.0554222959511703,2.06
2017-08-31,0.29178710163502153,0.29
2017-09-30,2.0149305361482073,2.01
2017-10-31,2.3564149632761655,2.36
2017-11-30,3.05658744232693,3.06
2017-12-31,1.212795034746339,1.21
2018-01-31,5.635909301867614,5.64
2018-02-28,-3.6360721235260907,-3.64
2018-03-31,-2.7410222431109132,-2.74
2018-04-30,0.5168456521259523,0.52
2018-05-31,2.4308763270176836,2.43
2018-06-30,0.5750874331752032,0.58
2018-07-31,3.704640636501755,3.7
2018-08-31,3.1919956475916944,3.19
2018-09-30,0.5945913542595438,0.59
2018-10-31,-6.9104280651637096,-6.91
2018-11-30,1.8548964606674323,1.85
2018-12-31,-8.804855345359176,-8.8
2019-01-31,8.006556358461637,8.01
2019-02-28,3.241599109465043,3.24
2019-03-31,1.8100456962751865,1.81
2019-04-30,4.085219451291744,4.09
2019-05-31,-6.377099054204594,-6.38
2019-06-30,6.958649648771376,6.96
2019-07-31,1.511938901328258,1.51
2019-08-31,-1.6743239399780951,-1.67
2019-09-30,1.9457876920716766,1.95
2019-10-31,2.210431712786076,2.21
2019-11-30,3.619864810574791,3.62
2019-12-31,2.90551735319724,2.91
2020-01-31,-0.040374270306353655,-0.04
2020-02-29,-7.916584016147199,-7.92
2020-03-31,-12.4871341794203,-12.49
2020-04-30,12.698390868356512,12.7
2020-05-31,4.76450038683367,4.76
2020-06-30,1.7734469490983118,1.77
2020-07-31,5.8892469564113314,5.89
2020-08-31,6.97964794360213,6.98
2020-09-30,-3.744337073971993,-3.74
2020-10-31,-2.4933861533945945,-2.49
2020-11-30,10.87770465413569,10.88
2020-12-31,3.7048204306126875,3.7
2021-01-31,-1.0190454246545633,-1.02
2021-02-28,2.780544769300053,2.78
2021-03-31,4.5399345423374315,4.54
2021-04-30,5.291055748771933,5.29
2021-05-31,0.656614930952859,0.66
2021-06-30,2.2427456562689185,2.24
2021-07-31,2.441251841780079,2.44
2021-08-31,2.9759635044305455,2.98
2021-09-30,-4.660526447518187,-4.66
2021-10-31,7.0163414169342575,7.02
2021-11-30,-0.8034910571014797,-0.8
2021-12-31,4.624777152957482,4.62
2022-01-31,-5.274122973890794,-5.27
2022-02-28,-2.951686402727105,-2.95
2022-03-31,3.759025133907401,3.76
2022-04-30,-8.77690522927842,-8.78
2022-05-31,0.22571618221578493,0.23
2022-06-30,-8.246031122789244,-8.25
2022-07-31,9.208742665018566,9.21
2022-08-31,-4.08019888049963,-4.08
2022-09-30,-9.244582267193147,-9.24
2022-10-31,8.127539540752426,8.13
2022-11-30,5.559165876653083,5.56
2022-12-31,-5.762821572245325,-5.76
2023-01-31,6.288731986933382,6.29
2023-02-28,-2.514263715694942,-2.51
2023-03-31,3.707771473058874,3.71
2023-04-30,1.597484486738976,1.6
2023-05-31,0.461630554893655,0.46
2023-06-30,6.479967572699175,6.48
2023-07-31,3.273335997062854,3.27
2023-08-31,-1.6251912213444353,-1.63
2023-09-30,-4.743447007528568,-4.74
2023-10-31,-2.1708642373733156,-2.17
2023-11-30,9.134382460704238,9.13
2023-12-31,4.565529388985001,4.57
2024-01-31,1.5926470215110955,1.59
2024-02-29,5.218685623129415,5.22
2024-03-31,3.270203923932291,3.27
2024-04-30,-4.031976740063781,-4.03
2024-05-31,5.057960894112723,5.06
2024-06-30,3.5280197472057573,3.53
2024-07-31,1.2109122259023053,1.21
2024-08-31,2.3365615551036223,2.34
2024-09-30,2.1004653454643307,2.1
2024-10-31,-0.8923490062790806,-0.89
2024-11-30,5.963338478351443,5.96
2024-12-31,-2.4060112818573343,-2.41
2025-01-31,2.685632560424911,2.69
2025-02-28,-1.269479136976348,-1.27
2025-03-31,-6.201570434649295,-6.2
