Date,AIEQ,ASHR.L,BCHN.L,CORN,DBO,EDEN,EMXC,EWA,EWC,EWG,EWH,EWJ,EWQ,EWS,EWU,EWW,GLD,IDUP.L,IEMG,INDA,KSA,PSCC,SEMI.AS,SLV,SPY,TLT,USO,VDE,VDNR.L,VGK,VNQ,VPL,XMAF.L
2012-01-03,21.902437210083008,6.2466230392456055,40.0,42.619998931884766,26.042213439941406,22.380075454711914,42.75700759887695,12.30732536315918,20.625572204589844,14.720882415771484,10.451929092407227,30.0042781829834,14.19258975982666,13.147455215454102,19.759279251098633,41.37704086303711,155.9199981689453,13.627106666564941,35.379615783691406,23.19849395751953,20.759973526000977,8.678680419921875,5.195000171661377,28.829999923706055,100.45065307617188,83.88861083984375,317.5199890136719,69.90563201904297,42.30094909667969,27.66472816467285,34.59194564819336,33.707801818847656,6.783750057220459
2012-01-04,21.902437210083008,6.2466230392456055,40.0,42.5099983215332,26.165096282958984,22.380075454711914,42.75700759887695,12.452251434326172,20.587934494018555,14.581520080566406,10.385860443115234,29.971981048583984,13.946189880371094,13.159194946289062,19.72365379333496,41.33962631225586,156.7100067138672,13.627106666564941,35.379615783691406,23.19849395751953,20.759973526000977,8.59814453125,5.195000171661377,28.389999389648438,100.60824584960938,82.89119720458984,318.1600036621094,70.11493682861328,42.30094909667969,27.328697204589844,34.000518798828125,33.888031005859375,6.697500228881836
2012-01-05,21.902437210083008,6.2466230392456055,40.0,41.5099983215332,25.81400489807129,22.380075454711914,42.75700759887695,12.290600776672363,20.4599666595459,14.412819862365723,10.379252433776855,29.616708755493164,13.650511741638184,13.123979568481445,19.426788330078125,40.85336685180664,157.77999877929688,13.34043025970459,35.379615783691406,23.19849395751953,20.759973526000977,8.589810371398926,5.195000171661377,28.510000228881836,100.8761215209961,82.74368286132812,313.3599853515625,69.81790924072266,42.30094909667969,26.831098556518555,34.319889068603516,33.47214126586914,6.682499885559082
2012-01-06,21.902437210083008,6.2466230392456055,40.0,41.349998474121094,25.919330596923828,22.380075454711914,42.75700759887695,12.128962516784668,20.249189376831055,14.148768424987793,10.273541450500488,29.293739318847656,13.411149024963379,13.018329620361328,19.308040618896484,40.621463775634766,157.1999969482422,13.400431632995605,35.379615783691406,23.19849395751953,20.759973526000977,8.6259183883667,5.195000171661377,27.90999984741211,100.61612701416016,83.39690399169922,313.760009765625,69.39251708984375,42.30094909667969,26.46274757385254,34.20751953125,33.07012176513672,6.726250171661377
2012-01-09,21.902437210083008,6.2466230392456055,40.0,42.189998626708984,25.831560134887695,22.380075454711914,42.75700759887695,12.167977333068848,20.309417724609375,14.20744800567627,10.306578636169434,29.390625,13.50971508026123,12.90093994140625,19.33179473876953,40.71871566772461,156.5,13.287096977233887,35.379615783691406,23.19849395751953,20.759973526000977,8.642576217651367,5.195000171661377,28.1299991607666,100.86035919189453,83.24939727783203,312.6400146484375,69.65584564208984,42.30094909667969,26.663082122802734,34.089229583740234,33.097835540771484,6.696249961853027
2012-01-10,21.902437210083008,6.2466230392456055,40.0,42.04999923706055,25.96321678161621,22.380075454711914,42.75700759887695,12.402085304260254,20.5728816986084,14.464164733886719,10.445321083068848,29.74589729309082,13.79835319519043,13.253104209899902,19.55740737915039,41.23489761352539,158.63999938964844,13.460436820983887,35.379615783691406,23.19849395751953,20.759973526000977,8.695345878601074,5.195000171661377,29.049999237060547,101.73487091064453,83.10891723632812,314.7200012207031,70.2567367553711,42.30094909667969,27.07020378112793,34.46773910522461,33.61075973510742,6.817500114440918
2012-01-11,21.902437210083008,6.2466230392456055,40.0,42.060001373291016,25.708677291870117,22.380075454711914,42.75700759887695,12.474546432495117,20.475017547607422,14.493507385253906,10.412286758422852,29.616708755493164,13.770193099975586,13.276583671569824,19.343669891357422,41.45184326171875,159.6699981689453,13.460436820983887,35.379615783691406,23.19849395751953,20.759973526000977,8.6814546585083,5.195000171661377,29.139999389648438,101.79000854492188,84.19059753417969,311.3599853515625,69.36551666259766,42.30094909667969,26.850482940673828,34.710227966308594,33.61075973510742,6.742499828338623
2012-01-12,21.902437210083008,6.2466230392456055,40.0,39.75,25.217147827148438,22.380075454711914,42.75700759887695,12.53028678894043,20.580406188964844,14.742890357971191,10.471748352050781,29.48752212524414,13.910994529724121,13.382233619689941,19.355539321899414,41.75856018066406,160.3800048828125,13.37376594543457,35.379615783691406,23.19849395751953,20.759973526000977,8.753667831420898,5.195000171661377,29.309999465942383,102.03424072265625,84.07122802734375,304.4800109863281,68.79839324951172,42.30094909667969,27.115436553955078,34.45591354370117,33.58997344970703,6.8125
2012-01-13,21.902437210083008,6.2466230392456055,40.0,39.189998626708984,25.28736686706543,22.380075454711914,42.75700759887695,12.429954528808594,20.422325134277344,14.383487701416016,10.392464637756348,29.552112579345703,13.629393577575684,13.487878799438477,19.11804962158203,40.73367691040039,159.25999450683594,13.37376594543457,35.379615783691406,23.19849395751953,20.759973526000977,8.645354270935059,5.195000171661377,28.81999969482422,101.5063705444336,84.90705871582031,305.2799987792969,68.33929443359375,42.30094909667969,26.579071044921875,34.53279495239258,33.47906494140625,6.756249904632568
2012-01-16,21.902437210083008,6.2466230392456055,40.0,39.189998626708984,25.28736686706543,22.380075454711914,42.75700759887695,12.429954528808594,20.422325134277344,14.383487701416016,10.392464637756348,29.552112579345703,13.629393577575684,13.487878799438477,19.11804962158203,40.73367691040039,159.25999450683594,13.37376594543457,35.379615783691406,23.19849395751953,20.759973526000977,8.645354270935059,5.195000171661377,28.81999969482422,101.5063705444336,84.90705871582031,305.2799987792969,68.33929443359375,42.30094909667969,26.579071044921875,34.53279495239258,33.47906494140625,6.848750114440918
